ref_date,napcs_group,napcs_group_name,product,uom,value,vector,coordinate,status,terminated
2019-12,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",99.4,v1230996124,1.118,E,
2020-01,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",100.0,v1230996124,1.118,,
2020-02,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",101.5,v1230996124,1.118,,
2020-03,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",100.1,v1230996124,1.118,,
2020-04,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",100.2,v1230996124,1.118,,
2020-05,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",100.8,v1230996124,1.118,,
2020-06,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",101.2,v1230996124,1.118,,
2020-07,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",102.1,v1230996124,1.118,,
2020-08,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",103.1,v1230996124,1.118,,
2020-09,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",105.0,v1230996124,1.118,,
2020-10,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",104.4,v1230996124,1.118,,
2020-11,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",104.5,v1230996124,1.118,,
2020-12,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",106.0,v1230996124,1.118,,
2021-01,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",107.8,v1230996124,1.118,,
2021-02,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",110.8,v1230996124,1.118,,
2021-03,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",114.0,v1230996124,1.118,,
2021-04,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",116.4,v1230996124,1.118,,
2021-05,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",119.4,v1230996124,1.118,,
2021-06,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",126.5,v1230996124,1.118,,
2021-07,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",126.7,v1230996124,1.118,,
2021-08,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",124.7,v1230996124,1.118,,
2021-09,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",126.0,v1230996124,1.118,,
2021-10,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",128.2,v1230996124,1.118,,
2021-11,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",130.6,v1230996124,1.118,,
2021-12,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",133.1,v1230996124,1.118,,
2022-01,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",136.6,v1230996124,1.118,,
2022-02,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",140.6,v1230996124,1.118,,
2022-03,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",144.3,v1230996124,1.118,,
2022-04,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",146.0,v1230996124,1.118,,
2022-05,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",148.9,v1230996124,1.118,,
2022-06,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",149.0,v1230996124,1.118,,
2022-07,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",149.0,v1230996124,1.118,,
2022-08,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",147.2,v1230996124,1.118,,
2022-09,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",146.0,v1230996124,1.118,,
2022-10,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",143.8,v1230996124,1.118,,
2022-11,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",143.2,v1230996124,1.118,,
2022-12,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",142.3,v1230996124,1.118,,
2023-01,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",142.0,v1230996124,1.118,,
2023-02,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",141.1,v1230996124,1.118,,
